Pipeline,Mode,Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
pipeline1_alamsabi,context_only,SVM,0.8233571428571429,0.8232940335834227,0.8931954387755102,0.8743438889540364,11.26388168334961,0.1096861362457275,14000,MINILM,0.0078347240175519
pipeline1_alamsabi,normal,LogisticRegression,0.8198571428571428,0.8198314044863552,0.8888845408163266,0.8694671812831358,4.511006116867065,0.0243158340454101,14000,MINILM,0.0017368452889578
pipeline1_alamsabi,normal,SVM,0.8176428571428571,0.8171072426391576,0.8887397857142858,0.869936549231771,14.352071523666382,0.1413764953613281,14000,MINILM,0.0100983210972377
pipeline3_organic_injected,normal,XGBoost,0.8010714285714285,0.7967894928858081,0.887237887755102,0.8986311329348877,20.657707452774048,0.130105972290039,14000,QWEN3,0.0092932837350027
pipeline3_organic_injected,normal,LightGBM,0.7891428571428571,0.7812685240071132,0.8728172244897959,0.8838986407824063,9.801167488098145,0.1312043666839599,14000,QWEN3,0.0093717404774257
pipeline3_organic_injected,context_only,RandomForest,0.7638571428571429,0.7615750757247944,0.8537846326530613,0.862747755770067,11.563771724700928,0.2165417671203613,14000,QWEN3,0.0154672690800258
pipeline3_organic_injected,normal,RandomForest,0.7353571428571428,0.7346938775510204,0.8250203673469388,0.8320517796294311,10.70952844619751,0.1954948902130127,14000,QWEN3,0.0139639207295009
pipeline3_organic_injected,context_only,XGBoost,0.7158571428571429,0.7106067219554779,0.8044524285714285,0.8182919861951196,4.5665459632873535,0.0038206577301025,14000,MINILM,0.0002729041235787
pipeline3_organic_injected,context_only,SVM,0.721,0.7157205240174672,0.7999608877551021,0.8097679217156382,10.898051023483276,0.0916340351104736,14000,MINILM,0.0065452882221766
pipeline3_organic_injected,context_only,LogisticRegression,0.7213571428571428,0.716146401804555,0.7996280306122449,0.8101281462567839,3.525134325027466,0.0285179615020751,14000,MINILM,0.0020369972501482
pipeline3_organic_injected,context_only,LightGBM,0.7126428571428571,0.7069706460776458,0.7974469387755102,0.808369284493415,2.021526336669922,0.0082740783691406,14000,MINILM,0.0005910055977957
pipeline3_organic_injected,normal,XGBoost,0.7074285714285714,0.7024553247130612,0.7907764183673469,0.7979845056905344,2.478898525238037,0.0024516582489013,14000,MINILM,0.00017511844635
pipeline3_organic_injected,normal,SVM,0.7120714285714286,0.7067723867025533,0.7897795408163265,0.799669678003136,9.461768865585327,0.0908007621765136,14000,MINILM,0.0064857687268938
pipeline3_organic_injected,normal,LogisticRegression,0.7122142857142857,0.706960506218634,0.789473806122449,0.7999589390503725,3.366196155548096,0.0227558612823486,14000,MINILM,0.0016254186630249
pipeline3_organic_injected,normal,LightGBM,0.7058571428571428,0.699766695829688,0.7848944591836735,0.794951225016796,1.3092718124389648,0.0057499408721923,14000,MINILM,0.0004107100622994
pipeline3_organic_injected,context_only,RandomForest,0.6953571428571429,0.6958134227230582,0.7799406020408164,0.7842825173259245,4.591909646987915,0.0626614093780517,14000,MINILM,0.0044758149555751
pipeline3_organic_injected,normal,RandomForest,0.6834285714285714,0.6831569917071776,0.7609405,0.7653709667313706,4.397301912307739,0.0474019050598144,14000,MINILM,0.0033858503614153
pipeline1_alamsabi,user_intent_only,SVM,0.5960714285714286,0.6302229778329955,0.6552895714285714,0.6581427649183247,7824.828862905502,1.837941646575928,14000,QWEN3,0.1312815461839948
